Exp No,folder,fish,Plan,moved,tape_name
90,1312019,Fish3-1,TRUE,TRUE,TK DRN Voltron #04
91,1312019,Fish3-2,TRUE,TRUE,TK DRN Voltron #04
92,1312019,Fish3-3,TRUE,TRUE,TK DRN Voltron #04
93,1312019,Fish4-1,TRUE,TRUE,TK DRN Voltron #04
94,1312019,Fish4-2,TRUE,TRUE,TK DRN Voltron #04
95,2072019,Fish1-4,TRUE,TRUE,TK DRN Voltron #04
96,2072019,Fish1-5,TRUE,TRUE,TK DRN Voltron #04
97,2072019,Fish2-4,TRUE,TRUE,TK DRN Voltron #04
98,2072019,Fish2-5,TRUE,TRUE,TK DRN Voltron #04
99,2072019,Fish2-6,TRUE,TRUE,TK DRN Voltron #04
100,2072019,Fish3-4,TRUE,TRUE,TK DRN Voltron #04
101,2072019,Fish3-5,TRUE,TRUE,TK DRN Voltron #04
102,2072019,Fish3-6,TRUE,TRUE,TK DRN Voltron #04
103,2142019,Fish1-4,TRUE,TRUE,TK DRN Voltron #04
104,2142019,Fish1-5,TRUE,TRUE,TK DRN Voltron #04
105,2142019,Fish2-4,TRUE,TRUE,TK DRN Voltron #04
106,2142019,Fish2-5,TRUE,TRUE,TK DRN Voltron #04
107,2142019,Fish2-6,TRUE,TRUE,TK DRN Voltron #04
108,3272019,Fish2-1,TRUE,TRUE,TK DRN Voltron #05
109,3272019,Fish2-2,TRUE,TRUE,TK DRN Voltron #05
110,3272019,Fish2-3,TRUE,TRUE,TK DRN Voltron #05
111,3282019,Fish1-1,TRUE,TRUE,TK DRN Voltron #05
112,3282019,Fish1-2,TRUE,TRUE,TK DRN Voltron #05
113,3282019,Fish1-3,TRUE,TRUE,TK DRN Voltron #05
114,3282019,Fish2-1,TRUE,TRUE,TK DRN Voltron #05
115,3282019,Fish2-2,TRUE,TRUE,TK DRN Voltron #05
116,3282019,Fish2-3,TRUE,TRUE,TK DRN Voltron #05
117,3282019,Fish2-4,TRUE,TRUE,TK DRN Voltron #05
118,3282019,Fish3-1,TRUE,TRUE,TK DRN Voltron #05
119,3282019,Fish3-2,TRUE,TRUE,TK DRN Voltron #05
120,4032019,Fish1-plane1-before,TRUE,TRUE,TK DRN Voltron #05
121,4032019,Fish1-plane2-before,TRUE,TRUE,TK DRN Voltron #05
122,4032019,Fish1-plane1-after,TRUE,TRUE,TK DRN Voltron #05
123,4032019,Fish1-plane2-after,TRUE,TRUE,TK DRN Voltron #05
124,4042019,Fish1-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
125,4042019,Fish1-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
126,4042019,Fish1-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
127,4042019,Fish1-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
128,4042019,Fish2-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
129,4042019,Fish2-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
130,4042019,Fish2-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
131,4042019,Fish2-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
132,4042019,Fish3-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
133,4042019,Fish3-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
134,4042019,Fish3-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
135,4042019,Fish3-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
136,4112019,Fish3-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
137,4112019,Fish3-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
138,4112019,Fish3-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
139,4112019,Fish3-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
140,4112019,Fish4-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
141,4112019,Fish4-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
142,4112019,Fish4-plane#3-before,TRUE,TRUE,TK DRN Voltron #05
143,4112019,Fish4-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
144,4112019,Fish4-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
145,4112019,Fish4-plane#3-after,TRUE,TRUE,TK DRN Voltron #05
146,4112019,Fish5-plane#1-before,TRUE,TRUE,TK DRN Voltron #05
147,4112019,Fish5-plane#2-before,TRUE,TRUE,TK DRN Voltron #05
148,4112019,Fish5-plane#1-after,TRUE,TRUE,TK DRN Voltron #05
149,4112019,Fish5-plane#2-after,TRUE,TRUE,TK DRN Voltron #05
