,folder,fish,task,area,type,rootDir
52,3132019,Fish1-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
53,3132019,Fish1-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
54,3132019,Fish2-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
55,3132019,Fish2-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
56,3132019,Fish3-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
57,3132019,Fish3-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
58,3132019,Fish4-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
59,3132019,Fish4-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
60,3142019,Fish1-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
61,3142019,Fish1-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
62,3142019,Fish2-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
63,3142019,Fish2-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
64,3142019,Fish3-1,Prolonged feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
65,3142019,Fish3-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
66,3272019,Fish1-1,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
67,3272019,Fish1-2,Delayed feedback,Glu,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
68,4102019,Fish1-1,Gain adaptation,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
69,4102019,Fish1-2,Gain adaptation,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
70,4102019,Fish1-3,Gain adaptation,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
71,4102019,Fish1-4,Gain adaptation,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
72,4102019,Fish2-1,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
73,4102019,Fish2-2,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
74,4102019,Fish2-3,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
75,4102019,Fish3-1,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
76,4102019,Fish3-2,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
77,4102019,Fish3-3,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
78,4102019,Fish3-4,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
79,4112019,Fish1-1,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
80,4112019,Fish1-2,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
81,4112019,Fish1-3,Gain adaptation,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
82,4172019,Fish1-1-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
83,4172019,Fish1-2-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
84,4172019,Fish1-3-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
85,4172019,Fish1-4-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
86,4172019,Fish1-5-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
87,4172019,Fish2-1-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
88,4172019,Fish2-2-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
89,4172019,Fish2-3-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
